Ascent Label,Ascent ID,Ascent Link,Ascent Type,Ascent Grade,# Ascents,Route Stars,Route Height,Route Name,Route Grade,Route ID,Route Link,Country,Country Link,Crag Name,Crag Link,Crag Path,With,Comment,Quality,Ascent Date,Log Date,Shot,Trip Name,Trip ID,Trip Link
Mezzaluna,2186703150,http://www.thecrag.com/ascent/2186703150,Flash,16,1,**,25m,Mezzaluna,16,15413035,http://www.thecrag.com/route/15413035,Australia,http://www.thecrag.com/area/11737699,Blue Mountains,http://www.thecrag.com/area/11741347,Blue Mountains - Mount Victoria Area - Mount York - Mezzaluna Area,,,,2019-01-06T00:00:00Z,2019-01-06T00:04:18Z,,,,
Sydney Rose,2186701128,http://www.thecrag.com/ascent/2186701128,Hang dog,24,1,**,12m,Sydney Rose,24,13182475,http://www.thecrag.com/route/13182475,Australia,http://www.thecrag.com/area/11737699,Blue Mountains,http://www.thecrag.com/area/11741347,Blue Mountains - Mount Victoria Area - Boronia Point - Main Wall (Ferris Cave),,,,2019-01-06T00:00:00Z,2019-01-06T00:03:27Z,,,,
Lyptus,2186701143,http://www.thecrag.com/ascent/2186701143,Red point,23,1,***,23m,Lyptus,23,13182871,http://www.thecrag.com/route/13182871,Australia,http://www.thecrag.com/area/11737699,Blue Mountains,http://www.thecrag.com/area/11741347,Blue Mountains - Mount Victoria Area - Boronia Point - Main Wall (Ferris Cave),,,,2019-01-06T00:00:00Z,2019-01-06T00:03:27Z,,,,
Grape Hour,2186701158,http://www.thecrag.com/ascent/2186701158,Hang dog,25,1,***,22m,Grape Hour,25,13182979,http://www.thecrag.com/route/13182979,Australia,http://www.thecrag.com/area/11737699,Blue Mountains,http://www.thecrag.com/area/11741347,Blue Mountains - Mount Victoria Area - Boronia Point - Main Wall (Ferris Cave),,,,2019-01-06T00:00:00Z,2019-01-06T00:03:27Z,,,,
Mr. Curly,2186698878,http://www.thecrag.com/ascent/2186698878,Flash,17,1,*,10m,Mr. Curly,17,13181719,http://www.thecrag.com/route/13181719,Australia,http://www.thecrag.com/area/11737699,Blue Mountains,http://www.thecrag.com/area/11741347,Blue Mountains - Mount Victoria Area - Boronia Point - Ancient Mariner Buttress,,,,2019-01-06T00:00:00Z,2019-01-06T00:01:57Z,,,,
Creature Without a Brain,2186698893,http://www.thecrag.com/ascent/2186698893,Flash,17,1,*,15m,Creature Without a Brain,17,13182103,http://www.thecrag.com/route/13182103,Australia,http://www.thecrag.com/area/11737699,Blue Mountains,http://www.thecrag.com/area/11741347,Blue Mountains - Mount Victoria Area - Boronia Point - Ancient Mariner Buttress,,,,2019-01-06T00:00:00Z,2019-01-06T00:01:57Z,,,,
Bohemiath,2186693961,http://www.thecrag.com/ascent/2186693961,Tick,20,1,**,37m,Bohemiath,20,15344641,http://www.thecrag.com/route/15344641,Australia,http://www.thecrag.com/area/11737699,Blue Mountains,http://www.thecrag.com/area/11741347,Blue Mountains - Katoomba Area - Medlow Bath - Reservoir Dogs,,,,2019-01-05T00:00:00Z,2019-01-06T00:00:26Z,,,,
Flex Time,2186693985,http://www.thecrag.com/ascent/2186693985,Tick,21,1,**,40m,Flex Time,21,251391861,http://www.thecrag.com/route/251391861,Australia,http://www.thecrag.com/area/11737699,Blue Mountains,http://www.thecrag.com/area/11741347,Blue Mountains - Katoomba Area - Medlow Bath - Reservoir Dogs,,,,2019-01-05T00:00:00Z,2019-01-06T00:00:26Z,,,,
Jean Genie,2186692512,http://www.thecrag.com/ascent/2186692512,Hang dog,24,1,**,18m,Jean Genie,24,15418921,http://www.thecrag.com/route/15418921,Australia,http://www.thecrag.com/area/11737699,Blue Mountains,http://www.thecrag.com/area/11741347,Blue Mountains - Mount Victoria Area - Bardens Lookout - Jean Genie Area,,,,2019-01-05T00:00:00Z,2019-01-05T23:57:37Z,,,,
Quirrell's Quarrell,2186690613,http://www.thecrag.com/ascent/2186690613,Onsight,19,1,**,25m,Quirrell's Quarrell,19,632546898,http://www.thecrag.com/route/632546898,Australia,http://www.thecrag.com/area/11737699,Blue Mountains,http://www.thecrag.com/area/11741347,Blue Mountains - Mount Victoria Area - Bardens Lookout - Little Triggers Wall,,,,2019-01-05T00:00:00Z,2019-01-05T23:57:02Z,,,,
Mike and Lorna go to Town,2186690649,http://www.thecrag.com/ascent/2186690649,Tick,19,1,**,25m,Mike and Lorna go to Town,19,15420103,http://www.thecrag.com/route/15420103,Australia,http://www.thecrag.com/area/11737699,Blue Mountains,http://www.thecrag.com/area/11741347,Blue Mountains - Mount Victoria Area - Bardens Lookout - Little Triggers Wall,,,,2019-01-05T00:00:00Z,2019-01-05T23:57:02Z,,,,
Lady Grinning Soul,2186690664,http://www.thecrag.com/ascent/2186690664,Onsight,22,1,**,25m,Lady Grinning Soul,22,15420715,http://www.thecrag.com/route/15420715,Australia,http://www.thecrag.com/area/11737699,Blue Mountains,http://www.thecrag.com/area/11741347,Blue Mountains - Mount Victoria Area - Bardens Lookout - Little Triggers Wall,,,,2019-01-05T00:00:00Z,2019-01-05T23:57:02Z,,,,
The Stench Before the Storm,2116560159,http://www.thecrag.com/ascent/2116560159,Top rope,25,4,***,19m,The Stench Before the Storm,25,13529719,http://www.thecrag.com/route/13529719,Australia,http://www.thecrag.com/area/11737699,Morialta,http://www.thecrag.com/area/11833411,Morialta - Thorn Buttress,,,Classic,2018-11-17T00:00:00Z,2018-11-17T12:00:56Z,,,,
Asgard,2093576496,http://www.thecrag.com/ascent/2093576496,Red point,16,1,*,15m,Asgard,16,13535263,http://www.thecrag.com/route/13535263,Australia,http://www.thecrag.com/area/11737699,Morialta,http://www.thecrag.com/area/11833411,Morialta - Far Crag,,,Very Good,2018-11-04T00:00:00Z,2018-11-04T12:30:10Z,,,,
Coming at ya Pussy,2093573895,http://www.thecrag.com/ascent/2093573895,Pink point,24,1,**,15m,Coming at ya Pussy,24,13556047,http://www.thecrag.com/route/13556047,Australia,http://www.thecrag.com/area/11737699,Norton Summit,http://www.thecrag.com/area/11833435,Norton Summit - The Cave,,,Very Good,2018-11-04T00:00:00Z,2018-11-04T12:27:27Z,,,,
Grurper DS,2847420705,http://www.thecrag.com/ascent/2847420705,Pink point,22,1,*,10m,Grurper DS,22,145908012,http://www.thecrag.com/route/145908012,Australia,http://www.thecrag.com/area/11737699,Norton Summit,http://www.thecrag.com/area/11833435,Norton Summit - The Cave,,,,2018-10-25T00:00:00Z,2019-10-24T12:12:29Z,,,,
The Tyrants Grasp,2019093006,http://www.thecrag.com/ascent/2019093006,Ground up red point,22,1,**,18m,The Tyrants Grasp,22,17617489,http://www.thecrag.com/route/17617489,Australia,http://www.thecrag.com/area/11737699,Grampians,http://www.thecrag.com/area/11740939,Grampians - North Grampians - Hollow Mountain (N & NE side of Mt. Stapylton) - Amnesty Wall Area - Amnesty Wall,,,,2018-10-01T00:00:00Z,2018-10-01T10:23:06Z,,,,
Amnesia (aka No Fixed Gear),2019093021,http://www.thecrag.com/ascent/2019093021,Onsight,17,1,*,25m,Amnesia (aka No Fixed Gear),17,143284164,http://www.thecrag.com/route/143284164,Australia,http://www.thecrag.com/area/11737699,Grampians,http://www.thecrag.com/area/11740939,Grampians - North Grampians - Hollow Mountain (N & NE side of Mt. Stapylton) - Amnesty Wall Area - Amnesty Wall,,,,2018-10-01T00:00:00Z,2018-10-01T10:23:06Z,,,,
Dirty Dancing,2019087288,http://www.thecrag.com/ascent/2019087288,Flash,V5,1,**,5m,Dirty Dancing,V5,15017455,http://www.thecrag.com/route/15017455,Australia,http://www.thecrag.com/area/11737699,Grampians,http://www.thecrag.com/area/11740939,Grampians - North Grampians - Hollow Mountain (N & NE side of Mt. Stapylton) - Red Wall Area incl Echoes Block,,,Very Good,2018-10-01T00:00:00Z,2018-10-01T10:20:39Z,,,,
Silverchair,2019084450,http://www.thecrag.com/ascent/2019084450,Send,V5,1,*,,Silverchair,V5,15025603,http://www.thecrag.com/route/15025603,Australia,http://www.thecrag.com/area/11737699,Grampians,http://www.thecrag.com/area/11740939,Grampians - North Grampians - Hollow Mountain (N & NE side of Mt. Stapylton) - Hollow Mountain Cave,,,,2018-10-01T00:00:00Z,2018-10-01T10:19:08Z,,,,
Rave Heart,2019084429,http://www.thecrag.com/ascent/2019084429,Working,V8,1,***,,Rave Heart,V8,15025315,http://www.thecrag.com/route/15025315,Australia,http://www.thecrag.com/area/11737699,Grampians,http://www.thecrag.com/area/11740939,Grampians - North Grampians - Hollow Mountain (N & NE side of Mt. Stapylton) - Hollow Mountain Cave,,,,2018-10-01T00:00:00Z,2018-10-01T10:19:07Z,,,,
Silly Putty Direct,2019079077,http://www.thecrag.com/ascent/2019079077,Send,V6,1,**,4m,Silly Putty Direct,V6,862195407,http://www.thecrag.com/route/862195407,Australia,http://www.thecrag.com/area/11737699,Grampians,http://www.thecrag.com/area/11740939,Grampians - North Grampians - Mt Stapylton Campground - Campground Boulders,,,Very Good,2018-10-01T00:00:00Z,2018-10-01T10:15:35Z,,,,
Bitch Slap,2019032349,http://www.thecrag.com/ascent/2019032349,Send,V7,1,**,4m,Bitch Slap,V7,15023635,http://www.thecrag.com/route/15023635,Australia,http://www.thecrag.com/area/11737699,Grampians,http://www.thecrag.com/area/11740939,Grampians - North Grampians - Hollow Mountain (N & NE side of Mt. Stapylton) - Loopeys,,,Very Good,2018-10-01T00:00:00Z,2018-10-01T10:10:52Z,,,,
Des' Dihedral,1901026875,http://www.thecrag.com/ascent/1901026875,Red point,17,1,**,8m,Des' Dihedral,17,12320053,http://www.thecrag.com/route/12320053,Australia,http://www.thecrag.com/area/11737699,Belair,http://www.thecrag.com/area/11833579,Belair - Car Crash Quarry - Sector 2 - Central,,,,2018-07-22T00:00:00Z,2018-07-22T10:32:35Z,,,,
No Man's Land,1901026890,http://www.thecrag.com/ascent/1901026890,Ground up red point,22,1,*,12m,No Man's Land,22,12320269,http://www.thecrag.com/route/12320269,Australia,http://www.thecrag.com/area/11737699,Belair,http://www.thecrag.com/area/11833579,Belair - Car Crash Quarry - Sector 2 - Central,,,,2018-07-22T00:00:00Z,2018-07-22T10:32:35Z,,,,
Technicolour Sunfish,1901026179,http://www.thecrag.com/ascent/1901026179,Red point,21,2,**,12m,Technicolour Sunfish,21,12319645,http://www.thecrag.com/route/12319645,Australia,http://www.thecrag.com/area/11737699,Belair,http://www.thecrag.com/area/11833579,Belair - Car Crash Quarry - Sector 1 - Left,,,Very Good,2018-07-22T00:00:00Z,2018-07-22T10:30:15Z,,,,
Hueco Dreaming,1876361499,http://www.thecrag.com/ascent/1876361499,Hang dog,25,1,*,9m,Hueco Dreaming,25,15180469,http://www.thecrag.com/route/15180469,Australia,http://www.thecrag.com/area/11737699,Grampians,http://www.thecrag.com/area/11740939,Grampians - Victoria Range - Buandik Area - The Gallery,,,,2018-07-04T00:00:00Z,2018-07-04T04:25:26Z,,,,
Can’t Keep a...,1876359039,http://www.thecrag.com/ascent/1876359039,Send,V4,1,**,3m,Can’t Keep a...,V4,1721547990,http://www.thecrag.com/route/1721547990,Australia,http://www.thecrag.com/area/11737699,Grampians,http://www.thecrag.com/area/11740939,Grampians - Victoria Range - Buandik Area - Cave of Man Hands,,,,2018-07-04T00:00:00Z,2018-07-04T04:24:33Z,,,,
Hands Up,1876359054,http://www.thecrag.com/ascent/1876359054,Send,V5,1,*,3m,Hands Up,V5,430629570,http://www.thecrag.com/route/430629570,Australia,http://www.thecrag.com/area/11737699,Grampians,http://www.thecrag.com/area/11740939,Grampians - Victoria Range - Buandik Area - Cave of Man Hands,,,,2018-07-04T00:00:00Z,2018-07-04T04:24:33Z,,,,
...Good Man Down,1876359069,http://www.thecrag.com/ascent/1876359069,Send,V3,1,*,,...Good Man Down,V3,946547874,http://www.thecrag.com/route/946547874,Australia,http://www.thecrag.com/area/11737699,Grampians,http://www.thecrag.com/area/11740939,Grampians - Victoria Range - Buandik Area - Cave of Man Hands,,,,2018-07-04T00:00:00Z,2018-07-04T04:24:33Z,,,,
Disparate Housewives,1876356123,http://www.thecrag.com/ascent/1876356123,Onsight,19,1,**,20m,Disparate Housewives,19,129421047,http://www.thecrag.com/route/129421047,Australia,http://www.thecrag.com/area/11737699,Grampians,http://www.thecrag.com/area/11740939,Grampians - Victoria Range - Eureka Area - Weirs Creek,,,,2018-07-04T00:00:00Z,2018-07-04T04:23:23Z,,,,
The Young And The Wrestlers,1876356138,http://www.thecrag.com/ascent/1876356138,Onsight,19,1,**,25m,The Young And The Wrestlers,19,129421563,http://www.thecrag.com/route/129421563,Australia,http://www.thecrag.com/area/11737699,Grampians,http://www.thecrag.com/area/11740939,Grampians - Victoria Range - Eureka Area - Weirs Creek,,,,2018-07-04T00:00:00Z,2018-07-04T04:23:23Z,,,,
Hysteria Lane,1876356153,http://www.thecrag.com/ascent/1876356153,Onsight,21,1,***,25m,Hysteria Lane,21,129422055,http://www.thecrag.com/route/129422055,Australia,http://www.thecrag.com/area/11737699,Grampians,http://www.thecrag.com/area/11740939,Grampians - Victoria Range - Eureka Area - Weirs Creek,,,,2018-07-04T00:00:00Z,2018-07-04T04:23:23Z,,,,
Widow Of Opportunity,1876356168,http://www.thecrag.com/ascent/1876356168,Onsight,17,1,**,25m,Widow Of Opportunity,17,129423189,http://www.thecrag.com/route/129423189,Australia,http://www.thecrag.com/area/11737699,Grampians,http://www.thecrag.com/area/11740939,Grampians - Victoria Range - Eureka Area - Weirs Creek,,,,2018-07-04T00:00:00Z,2018-07-04T04:23:23Z,,,,
Weaveworld,1876355253,http://www.thecrag.com/ascent/1876355253,Red point,23,1,***,25m,Weaveworld,23,15179521,http://www.thecrag.com/route/15179521,Australia,http://www.thecrag.com/area/11737699,Grampians,http://www.thecrag.com/area/11740939,Grampians - Victoria Range - Buandik Area - The Gallery,,,Classic,2018-07-04T00:00:00Z,2018-07-04T04:21:06Z,,,,
Super Furry Beaver,1629453369,http://www.thecrag.com/ascent/1629453369,Onsight,19,1,,16m,Super Furry Beaver,19,835739550,http://www.thecrag.com/route/835739550,Australia,http://www.thecrag.com/area/11737699,Morialta,http://www.thecrag.com/area/11833411,Morialta - Thorn Buttress,,,,2018-01-09T00:00:00Z,2018-01-09T03:07:11Z,,,,
Gladiator,1629453384,http://www.thecrag.com/ascent/1629453384,Top rope onsight,20,1,**,16m,Gladiator,20,13528429,http://www.thecrag.com/route/13528429,Australia,http://www.thecrag.com/area/11737699,Morialta,http://www.thecrag.com/area/11833411,Morialta - Thorn Buttress,,,,2018-01-09T00:00:00Z,2018-01-09T03:07:11Z,,,,
No Mustard on Withdrawal,1629453399,http://www.thecrag.com/ascent/1629453399,Hang dog,24,1,*,21m,No Mustard on Withdrawal,24,13528609,http://www.thecrag.com/route/13528609,Australia,http://www.thecrag.com/area/11737699,Morialta,http://www.thecrag.com/area/11833411,Morialta - Thorn Buttress,,,,2018-01-09T00:00:00Z,2018-01-09T03:07:11Z,,,,
The Stench Before the Storm,1629453414,http://www.thecrag.com/ascent/1629453414,Working,25,4,***,19m,The Stench Before the Storm,25,13529719,http://www.thecrag.com/route/13529719,Australia,http://www.thecrag.com/area/11737699,Morialta,http://www.thecrag.com/area/11833411,Morialta - Thorn Buttress,,,,2018-01-09T00:00:00Z,2018-01-09T03:07:11Z,,,,
Hand Out,1534460526,http://www.thecrag.com/ascent/1534460526,Attempt,V6,1,**,,Hand Out,V6,430629684,http://www.thecrag.com/route/430629684,Australia,http://www.thecrag.com/area/11737699,Grampians,http://www.thecrag.com/area/11740939,Grampians - Victoria Range - Buandik Area - Cave of Man Hands,,,,2017-12-03T00:00:00Z,2017-12-03T22:35:47Z,,,,
Eddie Misses the Point,1534458447,http://www.thecrag.com/ascent/1534458447,Attempt,25,4,**,15m,Eddie Misses the Point,25,13556095,http://www.thecrag.com/route/13556095,Australia,http://www.thecrag.com/area/11737699,Norton Summit,http://www.thecrag.com/area/11833435,Norton Summit - The Cave,,,,2017-12-03T00:00:00Z,2017-12-03T22:33:14Z,,,,
Sardine Direct,1507143627,http://www.thecrag.com/ascent/1507143627,Hang dog,22,1,**,,Sardine Direct,22,13529041,http://www.thecrag.com/route/13529041,Australia,http://www.thecrag.com/area/11737699,Morialta,http://www.thecrag.com/area/11833411,Morialta - Thorn Buttress,,,,2017-11-11T00:00:00Z,2017-11-11T21:38:03Z,,,,
The Stench Before the Storm,1507143642,http://www.thecrag.com/ascent/1507143642,Hang dog,25,4,***,19m,The Stench Before the Storm,25,13529719,http://www.thecrag.com/route/13529719,Australia,http://www.thecrag.com/area/11737699,Morialta,http://www.thecrag.com/area/11833411,Morialta - Thorn Buttress,,,,2017-11-11T00:00:00Z,2017-11-11T21:38:03Z,,,,
Stalagmite Addiction,1507140648,http://www.thecrag.com/ascent/1507140648,Hang dog,24,1,,15m,Stalagmite Addiction,24,502652163,http://www.thecrag.com/route/502652163,Australia,http://www.thecrag.com/area/11737699,Onkaparinga,http://www.thecrag.com/area/11833459,Onkaparinga - Red Cliff,,,,2017-11-11T00:00:00Z,2017-11-11T21:35:12Z,,,,
Blades Of Glory,1507140663,http://www.thecrag.com/ascent/1507140663,Red point,22,2,***,26m,Blades Of Glory,22,502570179,http://www.thecrag.com/route/502570179,Australia,http://www.thecrag.com/area/11737699,Onkaparinga,http://www.thecrag.com/area/11833459,Onkaparinga - Red Cliff,,,,2017-11-11T00:00:00Z,2017-11-11T21:35:12Z,,,,
Blades Of Glory,1499160576,http://www.thecrag.com/ascent/1499160576,Hang dog,22,2,***,26m,Blades Of Glory,22,502570179,http://www.thecrag.com/route/502570179,Australia,http://www.thecrag.com/area/11737699,Onkaparinga,http://www.thecrag.com/area/11833459,Onkaparinga - Red Cliff,,,,2017-11-05T00:00:00Z,2017-11-05T03:12:30Z,,,,
Japetus Direct Finish,1499159184,http://www.thecrag.com/ascent/1499159184,Red point,23,3,**,,Japetus Direct Finish,23,13529407,http://www.thecrag.com/route/13529407,Australia,http://www.thecrag.com/area/11737699,Morialta,http://www.thecrag.com/area/11833411,Morialta - Thorn Buttress,,,Very Good,2017-11-05T00:00:00Z,2017-11-05T03:07:01Z,,,,
Japetus Direct Finish,1470086982,http://www.thecrag.com/ascent/1470086982,Hang dog,23,3,**,,Japetus Direct Finish,23,13529407,http://www.thecrag.com/route/13529407,Australia,http://www.thecrag.com/area/11737699,Morialta,http://www.thecrag.com/area/11833411,Morialta - Thorn Buttress,,,Very Good,2017-10-12T00:00:00Z,2017-10-12T08:05:19Z,,,,
Bung Direct,1466486637,http://www.thecrag.com/ascent/1466486637,Top rope,23,1,*,13m,Bung Direct,23 X,13534393,http://www.thecrag.com/route/13534393,Australia,http://www.thecrag.com/area/11737699,Morialta,http://www.thecrag.com/area/11833411,Morialta - Far Crag,,,,2017-10-09T00:00:00Z,2017-10-09T07:14:39Z,,,,
Bung Original,1466486652,http://www.thecrag.com/ascent/1466486652,Top rope,20,1,**,13m,Bung Original,20 X,13534447,http://www.thecrag.com/route/13534447,Australia,http://www.thecrag.com/area/11737699,Morialta,http://www.thecrag.com/area/11833411,Morialta - Far Crag,,,,2017-10-09T00:00:00Z,2017-10-09T07:14:39Z,,,,
Terra Incognita,1466485017,http://www.thecrag.com/ascent/1466485017,Red point,22,1,**,20m,Terra Incognita,22,13529167,http://www.thecrag.com/route/13529167,Australia,http://www.thecrag.com/area/11737699,Morialta,http://www.thecrag.com/area/11833411,Morialta - Thorn Buttress,,,,2017-10-09T00:00:00Z,2017-10-09T07:12:34Z,,,,
October,1466485032,http://www.thecrag.com/ascent/1466485032,Top rope,21,1,*,12m,October,21,13529857,http://www.thecrag.com/route/13529857,Australia,http://www.thecrag.com/area/11737699,Morialta,http://www.thecrag.com/area/11833411,Morialta - Thorn Buttress,,,,2017-10-09T00:00:00Z,2017-10-09T07:12:34Z,,,,
Technicolour Sunfish,1447610223,http://www.thecrag.com/ascent/1447610223,Top rope,21,2,**,12m,Technicolour Sunfish,21,12319645,http://www.thecrag.com/route/12319645,Australia,http://www.thecrag.com/area/11737699,Belair,http://www.thecrag.com/area/11833579,Belair - Car Crash Quarry - Sector 1 - Left,,,,2017-09-25T00:00:00Z,2017-09-25T06:59:18Z,,,,
Barometric Pressure,1447610253,http://www.thecrag.com/ascent/1447610253,Tick,V5,1,**,,Barometric Pressure,V5,1121848806,http://www.thecrag.com/route/1121848806,Australia,http://www.thecrag.com/area/11737699,Belair,http://www.thecrag.com/area/11833579,Belair - Car Crash Quarry - Sector 1 - Left,,,Very Good,2017-09-25T00:00:00Z,2017-09-25T06:59:18Z,,,,
The Fading Light,1447610160,http://www.thecrag.com/ascent/1447610160,Red point,21,1,*,12m,The Fading Light,21,12319501,http://www.thecrag.com/route/12319501,Australia,http://www.thecrag.com/area/11737699,Belair,http://www.thecrag.com/area/11833579,Belair - Car Crash Quarry - Sector 1 - Left,,,,2017-09-25T00:00:00Z,2017-09-25T06:59:17Z,,,,
Ram it to the Hilti and Climbmax,1447610190,http://www.thecrag.com/ascent/1447610190,Onsight,21,1,*,10m,Ram it to the Hilti and Climbmax,21,12319597,http://www.thecrag.com/route/12319597,Australia,http://www.thecrag.com/area/11737699,Belair,http://www.thecrag.com/area/11833579,Belair - Car Crash Quarry - Sector 1 - Left,,,,2017-09-25T00:00:00Z,2017-09-25T06:59:17Z,,,,
Anonymous Arete,1443074190,http://www.thecrag.com/ascent/1443074190,Send,V5,1,**,3m,Anonymous Arete,V5,984851991,http://www.thecrag.com/route/984851991,Australia,http://www.thecrag.com/area/11737699,Grampians,http://www.thecrag.com/area/11740939,Grampians - Halls Gap Area - Southern Wonderland Range - Sundial Peak - The Bleachers - Magic Daddy,,,Very Good,2017-09-21T00:00:00Z,2017-09-21T13:57:18Z,,,,
Grand Discovery,1443073377,http://www.thecrag.com/ascent/1443073377,Send,V7,1,***,,Grand Discovery,V7,116511822,http://www.thecrag.com/route/116511822,Australia,http://www.thecrag.com/area/11737699,Grampians,http://www.thecrag.com/area/11740939,Grampians - North Grampians - Hollow Mountain (N & NE side of Mt. Stapylton) - Andersens - Lower Clicke - Discovery Boulder,,,Mega Classic,2017-09-21T00:00:00Z,2017-09-21T13:56:02Z,,,,
The Parisian,1443072564,http://www.thecrag.com/ascent/1443072564,Send,V4,1,*,6m,The Parisian,V4,16090515,http://www.thecrag.com/route/16090515,Australia,http://www.thecrag.com/area/11737699,Grampians,http://www.thecrag.com/area/11740939,Grampians - North Grampians - Hollow Mountain (N & NE side of Mt. Stapylton) - Andersens - Lower Clicke - Sydney Highrise Boulder,,,Good,2017-09-21T00:00:00Z,2017-09-21T13:54:37Z,,,,
Hard Stone City,1395810726,http://www.thecrag.com/ascent/1395810726,Onsight,21,1,*,12m,Hard Stone City,21,12319891,http://www.thecrag.com/route/12319891,Australia,http://www.thecrag.com/area/11737699,Belair,http://www.thecrag.com/area/11833579,Belair - Car Crash Quarry - Sector 2 - Central,,,Very Good,2017-08-10T00:00:00Z,2017-08-10T10:07:38Z,,,,
Anzac Highway Amble,1373444691,http://www.thecrag.com/ascent/1373444691,Red point,23,2,***,25m,Anzac Highway Amble,23,13554775,http://www.thecrag.com/route/13554775,Australia,http://www.thecrag.com/area/11737699,Norton Summit,http://www.thecrag.com/area/11833435,Norton Summit - The Cave,,,Mega Classic,2017-07-20T00:00:00Z,2017-07-20T12:31:06Z,,,,
Mercey Street,1364531733,http://www.thecrag.com/ascent/1364531733,Hang dog,24,1,**,8m,Mercey Street,24,12321277,http://www.thecrag.com/route/12321277,Australia,http://www.thecrag.com/area/11737699,Belair,http://www.thecrag.com/area/11833579,Belair - Car Crash Quarry - Sector 4 - Graffiti Wall,,,Good,2017-07-10T00:00:00Z,2017-07-10T09:00:17Z,,,,
Space to Rent,1351214520,http://www.thecrag.com/ascent/1351214520,Hang dog,24,2,**,,Space to Rent,24,13554613,http://www.thecrag.com/route/13554613,Australia,http://www.thecrag.com/area/11737699,Norton Summit,http://www.thecrag.com/area/11833435,Norton Summit - The Cave,,,,2017-06-29T00:00:00Z,2017-06-29T07:50:18Z,,,,
Eddie Misses the Point,1351214541,http://www.thecrag.com/ascent/1351214541,Hang dog,25,4,**,15m,Eddie Misses the Point,25,13556095,http://www.thecrag.com/route/13556095,Australia,http://www.thecrag.com/area/11737699,Norton Summit,http://www.thecrag.com/area/11833435,Norton Summit - The Cave,,,,2017-06-29T00:00:00Z,2017-06-29T07:50:18Z,,,,
Peregrine RHV,1351213107,http://www.thecrag.com/ascent/1351213107,Red point,23,1,*,9m,Peregrine RHV,23,13555975,http://www.thecrag.com/route/13555975,Australia,http://www.thecrag.com/area/11737699,Norton Summit,http://www.thecrag.com/area/11833435,Norton Summit - The Cave,,,Good,2017-06-29T00:00:00Z,2017-06-29T07:45:50Z,,,,
Elephantiasis of the Gonads,1342293099,http://www.thecrag.com/ascent/1342293099,Top rope,23,1,*,8m,Elephantiasis of the Gonads,23,12321169,http://www.thecrag.com/route/12321169,Australia,http://www.thecrag.com/area/11737699,Belair,http://www.thecrag.com/area/11833579,Belair - Car Crash Quarry - Sector 4 - Graffiti Wall,,,Very Good,2017-06-20T00:00:00Z,2017-06-20T08:06:39Z,,,,
Extra G Connection,1316316384,http://www.thecrag.com/ascent/1316316384,Top rope,24,1,**,17m,Extra G Connection,24,13537549,http://www.thecrag.com/route/13537549,Australia,http://www.thecrag.com/area/11737699,Morialta,http://www.thecrag.com/area/11833411,Morialta - The Boulder Bridge,,,Very Good,2017-06-13T00:00:00Z,2017-06-13T05:27:29Z,,,,
Anzac Highway Amble,1297162575,http://www.thecrag.com/ascent/1297162575,Top rope,23,2,***,25m,Anzac Highway Amble,23,13554775,http://www.thecrag.com/route/13554775,Australia,http://www.thecrag.com/area/11737699,Norton Summit,http://www.thecrag.com/area/11833435,Norton Summit - The Cave,,,Mega Classic,2017-06-08T00:00:00Z,2017-06-08T07:57:45Z,,,,
Perceptive Orators,1293645330,http://www.thecrag.com/ascent/1293645330,Red point,22,1,*,8m,Perceptive Orators,22,12321067,http://www.thecrag.com/route/12321067,Australia,http://www.thecrag.com/area/11737699,Belair,http://www.thecrag.com/area/11833579,Belair - Car Crash Quarry - Sector 4 - Graffiti Wall,,,Very Good,2017-06-05T00:00:00Z,2017-06-05T06:54:56Z,,,,
The Electric Lavender Vacuum Cleaner,1293645306,http://www.thecrag.com/ascent/1293645306,Red point,22,1,*,8m,The Electric Lavender Vacuum Cleaner,22,12320815,http://www.thecrag.com/route/12320815,Australia,http://www.thecrag.com/area/11737699,Belair,http://www.thecrag.com/area/11833579,Belair - Car Crash Quarry - Sector 4 - Graffiti Wall,,,Classic,2017-06-05T00:00:00Z,2017-06-05T06:54:55Z,,,,
Extra G,1279076607,http://www.thecrag.com/ascent/1279076607,Top rope,21,4,***,18m,Extra G,21,13537411,http://www.thecrag.com/route/13537411,Australia,http://www.thecrag.com/area/11737699,Morialta,http://www.thecrag.com/area/11833411,Morialta - The Boulder Bridge,,,,2017-05-25T00:00:00Z,2017-05-25T00:11:40Z,,,,
White Destiny,1278729186,http://www.thecrag.com/ascent/1278729186,Tick,V5,1,**,4m,White Destiny,V5,15020221,http://www.thecrag.com/route/15020221,Australia,http://www.thecrag.com/area/11737699,Grampians,http://www.thecrag.com/area/11740939,Grampians - North Grampians - Hollow Mountain (N & NE side of Mt. Stapylton) - Andersens - Left Main - Font Boulder,,,,2017-05-24T00:00:00Z,2017-05-24T13:11:12Z,,,,
Epinephrine,1278725787,http://www.thecrag.com/ascent/1278725787,Tick,V5,1,**,3m,Epinephrine,V5,294028473,http://www.thecrag.com/route/294028473,Australia,http://www.thecrag.com/area/11737699,Grampians,http://www.thecrag.com/area/11740939,Grampians - North Grampians - Hollow Mountain (N & NE side of Mt. Stapylton) - Andersens - Left Main - Gobsmacker Corner,,,,2017-05-24T00:00:00Z,2017-05-24T13:08:05Z,,,,
